match_id,date,h_team,a_team,team,h_a,minute,player,shot_id,result,situation,shotType,xG,X,Y,fast_break,isKeyPass,dist_m,angle_deg,is_header
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,h,64,Óscar Mingueza,584549,SavedShot,DirectFreekick,RightFoot,0.047245390713214874,0.71,0.54,,,30.57124302346897,13.601820481221491,0
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,h,65,Williot Swedberg,584550,Goal,OpenPlay,RightFoot,0.049511730670928955,0.8209999847412109,0.40099998474121096,,,19.964266157209384,19.65599276336827,0
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,a,69,Kike García,584551,MissedShots,OpenPlay,RightFoot,0.10178400576114655,0.955999984741211,0.5820000076293945,,,7.241284180980919,40.90032374052689,0
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,a,70,Kike García,584552,BlockedShot,OpenPlay,RightFoot,0.03823766112327576,0.9630000305175781,0.3340000152587891,,,11.937844054830023,12.421191732188769,0
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,a,79,Hugo Novoa Ramos,584553,MissedShots,OpenPlay,RightFoot,0.596488893032074,0.915,0.4809999847412109,,,9.018031474837143,43.88299594421827,0
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,a,80,Stoichkov,584554,BlockedShot,OpenPlay,LeftFoot,0.35237959027290344,0.874000015258789,0.6170000076293946,,,15.437966247587028,23.293808455882193,0
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,a,82,Asier Villalibre,584555,SavedShot,OpenPlay,LeftFoot,0.358264684677124,0.884000015258789,0.610999984741211,,,14.32915382384804,24.916475441150855,0
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,h,83,Iago Aspas,584556,Goal,OpenPlay,LeftFoot,0.2586970031261444,0.935,0.65,,,12.272759469654734,20.0048575218985,0
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,a,88,Antonio Blanco,584557,BlockedShot,OpenPlay,RightFoot,0.027350028976798058,0.8130000305175781,0.6819999694824219,,,23.209877720490574,15.302190437367138,0
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,h,91,Iago Aspas,584558,MissedShots,OpenPlay,LeftFoot,0.06705091148614883,0.8830000305175781,0.615,,,14.562745148811617,24.35259366987711,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,13,Alberto Moleiro,584655,SavedShot,OpenPlay,RightFoot,0.04161622375249863,0.86,0.715,,,20.732447998246613,14.487825971247009,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,15,Javi Muñoz,584656,BlockedShot,OpenPlay,RightFoot,0.01722012087702751,0.675,0.5,,,34.12499999999999,12.243456550717504,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,16,José Ángel Carmona,584657,MissedShots,OpenPlay,RightFoot,0.015121282078325748,0.7480000305175781,0.2610000038146973,,,31.052518834943438,11.513414351177406,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,17,Adrià Pedrosa,584658,MissedShots,OpenPlay,LeftFoot,0.013484797440469265,0.7130000305175781,0.6170000076293946,,,31.16754684169452,12.96659437491281,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,24,Álex Suárez,584659,OwnGoal,OpenPlay,RightFoot,0,0.030999999046325683,0.41900001525878905,,,101.89397969431982,4.108329277803194,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,27,Jaime Mata,584660,MissedShots,FromCorner,LeftFoot,0.0669841319322586,0.8969999694824219,0.3890000152587891,,,13.188501910620275,26.248786275567706,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,29,Alberto Moleiro,584661,MissedShots,OpenPlay,Head,0.11036938428878784,0.9159999847412109,0.5059999847412109,,,8.829433244305836,44.99960966411791,1
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,3,Djibril Sow,584651,BlockedShot,OpenPlay,RightFoot,0.11451969295740128,0.8909999847412109,0.580999984741211,,,12.701421741032165,29.524156717960913,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,3,Lucas Ocampos,584652,SavedShot,OpenPlay,RightFoot,0.07031237334012985,0.8580000305175781,0.4129999923706055,,,16.040793826517735,24.106714398316853,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,35,Oliver McBurnie,584662,SavedShot,OpenPlay,LeftFoot,0.5704737901687622,0.9580000305175781,0.514000015258789,,,4.511582617360365,77.83503591608044,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,37,Mika Mármol,584663,MissedShots,SetPiece,LeftFoot,0.026244955137372017,0.7980000305175782,0.6359999847412109,,,23.138484152603,16.564112044734912,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,39,Dodi Lukebakio,584664,MissedShots,OpenPlay,RightFoot,0.0729203075170517,0.8580000305175781,0.645,,,17.87533508626961,19.62200073367341,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,41,Nianzou Kouassi,584665,OwnGoal,OpenPlay,LeftFoot,0,0.029000000953674318,0.519000015258789,,,101.96318586265566,4.111205131749876,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,43,Nemanja Gudelj,584666,MissedShots,OpenPlay,RightFoot,0.02237199991941452,0.7530000305175781,0.500999984741211,,,25.93508593873339,16.065200599372254,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,49,Mika Mármol,584667,BlockedShot,FromCorner,LeftFoot,0.06324950605630875,0.9309999847412109,0.59,,,9.483904692450634,34.71440413874604,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,49,Álex Muñoz,584668,MissedShots,FromCorner,Head,0.015673788264393806,0.9919999694824219,0.36900001525878906,,,8.947516465336752,5.269947084402084,1
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,51,Juanlu Sanchez,584669,MissedShots,OpenPlay,RightFoot,0.08116072416305542,0.874000015258789,0.5170000076293946,,,13.280406424728584,30.71999704173255,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,52,Alberto Moleiro,584670,BlockedShot,OpenPlay,RightFoot,0.09341789036989212,0.904000015258789,0.4929999923706055,,,10.091231054440021,39.83912547186675,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,56,Kirian Rodríguez,584671,MissedShots,OpenPlay,RightFoot,0.008809770457446575,0.6859999847412109,0.534000015258789,,,33.050966013796526,12.608186557258918,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,57,Alberto Moleiro,584672,SavedShot,OpenPlay,LeftFoot,0.04210720211267471,0.8619999694824219,0.68,,,18.967809384901276,17.025283219343088,0
